INDEX,ILP,KSPFF,POLICYMIX,POLICYMIXKJ,POLICYMIXMERGE
1,55,43,55,55,43
2,108,79,89,84,84
3,94,70,70,70,82
4,95,92,92,92,75
5,74,67,59,59,67
6,69,68,68,68,69
7,86,79,84,84,79
8,101,83,83,83,70
9,80,77,77,77,77
10,62,61,61,61,62
11,53,52,52,52,52
12,85,75,75,74,75
13,61,52,52,52,56
14,79,67,67,67,70
15,77,66,66,66,66
16,75,75,75,75,73
17,86,73,73,73,73
18,69,58,58,58,58
19,88,71,66,66,74
20,84,78,76,78,78
21,62,62,62,62,62
22,66,53,53,53,66
23,73,53,63,63,63
24,64,55,55,55,55
25,76,73,73,73,62
