Wall time,Step,Value
1752731026.620909,319106,3.7916977405548096
1752731063.826948,638212,5.231862545013428
1752731097.174564,957318,4.776739120483398
1752731129.694638,1276424,5.585639476776123
1752731158.333199,1595530,4.434928894042969
1752731186.378625,1914636,4.499251842498779
1752731214.135339,2233742,4.111817359924316
1752731241.093623,2552848,4.184741973876953
1752731268.954697,2871954,3.9872848987579346
1752731295.890607,3191060,4.120419025421143
1752731324.211775,3510166,4.454749584197998
1752731352.348028,3829272,4.306656837463379
1752731379.471353,4148378,4.424083709716797
1752731408.147878,4467484,4.9199700355529785
1752731437.072236,4786590,5.009349346160889
1752731467.106857,5105696,6.075168132781982
1752731496.210696,5424802,4.997382164001465
1752731523.625279,5743908,4.55908727645874
1752731551.648673,6063014,6.4113688468933105
1752731577.653223,6382120,5.5714287757873535
1752731605.985706,6701226,6.510097026824951
1752731632.885486,7020332,4.832086563110352
1752731660.713307,7339438,6.795811653137207
1752731686.232553,7658544,4.624906539916992
1752731715.112882,7977650,7.041136741638184
1752731744.039058,8296756,7.464472770690918
1752731773.743468,8615862,8.406132698059082
1752731801.617082,8934968,7.176514625549316
1752731831.663831,9254074,8.33545207977295
1752731861.154985,9573180,8.844801902770996
1752731890.28551,9892286,8.086013793945312
1752731920.033387,10211392,8.889304161071777
1752731948.785484,10530498,8.362751960754395
1752731978.106795,10849604,8.726252555847168
1752732007.84874,11168710,8.940912246704102
1752732036.094446,11487816,7.764771938323975
1752732066.260607,11806922,9.214285850524902
1752732094.584222,12126028,7.860508441925049
1752732124.333827,12445134,8.501121520996094
1752732153.725804,12764240,8.946147918701172
1752732183.910792,13083346,9.293567657470703
1752732213.205623,13402452,8.565071105957031
1752732243.525382,13721558,9.521690368652344
1752732273.779647,14040664,9.599102020263672
1752732303.59526,14359770,8.85115909576416
1752732332.72688,14678876,8.721765518188477
1752732362.756252,14997982,9.219895362854004
1752732392.753602,15317088,9.02468204498291
1752732423.60221,15636194,9.560209274291992
1752732453.607027,15955300,9.70830249786377
1752732483.453459,16274406,9.655198097229004
1752732513.212524,16593512,9.43642520904541
1752732544.153513,16912618,10.326103210449219
1752732573.76317,17231724,9.869483947753906
1752732603.864828,17550830,9.772998809814453
1752732634.244667,17869936,9.966716766357422
1752732665.005798,18189042,9.75130844116211
1752732695.746168,18508148,10.067688941955566
1752732727.136216,18827254,9.956993103027344
1752732756.81101,19146360,9.797307014465332
1752732785.874743,19465466,9.813387870788574
1752732816.364568,19784572,10.46522045135498
1752732848.831513,20103678,10.275616645812988
1752732880.036407,20422784,10.322737693786621
1752732911.822301,20741890,10.552729606628418
1752732944.537228,21060996,10.49476432800293
1752732976.487599,21380102,10.54412841796875
1752733008.45402,21699208,10.274121284484863
1752733041.351255,22018314,10.540762901306152
1752733072.81695,22337420,10.541510581970215
1752733104.20163,22656526,10.387060165405273
1752733135.622028,22975632,10.027673721313477
1752733167.847311,23294738,10.746073722839355
1752733199.717169,23613844,10.282722473144531
1752733231.214672,23932950,10.075542449951172
1752733263.230754,24252056,10.68249797821045
1752733296.062356,24571162,10.781600952148438
1752733328.978884,24890268,10.848541259765625
1752733360.533843,25209374,10.562827110290527
1752733393.200557,25528480,10.790949821472168
1752733425.600043,25847586,10.949888229370117
1752733457.103729,26166692,10.473821640014648
1752733488.936588,26485798,10.524308204650879
1752733521.915508,26804904,10.600598335266113
1752733553.526425,27124010,10.611443519592285
1752733584.851581,27443116,10.53477954864502
1752733618.072852,27762222,10.853403091430664
1752733649.825629,28081328,10.749439239501953
1752733681.387667,28400434,10.843679428100586
1752733713.085371,28719540,10.462602615356445
1752733744.823255,29038646,10.85228157043457
1752733776.839511,29357752,10.913238525390625
1752733809.21485,29676858,10.51944637298584
1752733841.086618,29995964,11.22774887084961
1752733873.357317,30315070,11.188855171203613
1752733905.017549,30634176,10.755048751831055
1752733936.685785,30953282,10.471203804016113
1752733969.866251,31272388,10.996634483337402
1752734001.545954,31591494,10.627898216247559
1752734033.220847,31910600,10.962602615356445
