INDEX,ILP,KSPFF,POLICYMIX,POLICYMIXAE,POLICYMIXMERGE
1,53,49,52,49,49
2,47,47,47,45,47
3,73,58,58,58,58
4,74,50,50,50,50
5,66,51,51,51,51
6,47,45,45,45,45
7,54,48,48,48,48
8,57,50,50,50,50
9,68,59,59,59,59
10,53,39,39,39,39
11,62,57,57,57,57
12,47,47,47,47,47
13,59,52,52,52,52
14,65,50,50,50,50
15,72,65,65,65,65
16,38,38,38,38,38
17,76,66,66,66,66
18,48,48,48,48,48
19,42,42,42,42,42
20,42,42,42,42,42
21,60,60,60,60,60
22,53,28,28,28,28
23,38,36,36,36,36
24,52,41,41,41,41
25,59,57,57,57,57
