Wall time,Step,Value
1752747562.640433,319106,3.80319881439209
1752747583.262206,638212,5.529000759124756
1752747604.496547,957318,6.534952640533447
1752747625.159429,1276424,7.947651386260986
1752747645.788711,1595530,8.69795036315918
1752747665.535562,1914636,9.326454162597656
1752747685.342286,2233742,10.681703567504883
1752747705.666222,2552848,12.244921684265137
1752747725.897993,2871954,13.014178276062012
1752747746.668548,3191060,14.616462707519531
1752747766.870217,3510166,16.63698387145996
1752747787.288185,3829272,18.464473724365234
1752747807.97069,4148378,19.407230377197266
1752747829.469891,4467484,21.254825592041016
1752747850.283993,4786590,22.398658752441406
1752747871.951538,5105696,23.655092239379883
1752747893.929677,5424802,25.19245719909668
1752747914.620469,5743908,27.66453742980957
1752747936.680271,6063014,29.08930015563965
1752747958.279636,6382120,30.373886108398438
1752747980.803643,6701226,32.25882339477539
1752748001.26575,7020332,33.34865188598633
1752748022.139198,7339438,35.401920318603516
1752748042.970268,7658544,36.49232482910156
1752748064.375364,7977650,37.246070861816406
1752748086.381899,8296756,39.39470672607422
1752748108.045089,8615862,40.158790588378906
1752748128.937701,8934968,42.773345947265625
1752748150.607168,9254074,44.4974250793457
1752748172.040158,9573180,45.5418701171875
1752748193.504638,9892286,46.47658157348633
1752748215.801223,10211392,48.22823715209961
1752748237.183559,10530498,48.915916442871094
1752748258.638051,10849604,49.96323013305664
1752748280.195122,11168710,53.2396125793457
1752748301.860763,11487816,53.90316390991211
1752748323.257458,11806922,53.53662872314453
1752748345.168973,12126028,56.24942398071289
1752748367.016974,12445134,56.83829116821289
1752748388.739909,12764240,57.10371017456055
1752748410.551872,13083346,58.94211196899414
1752748433.213889,13402452,59.76537322998047
1752748455.066881,13721558,62.76484680175781
1752748476.882976,14040664,62.496551513671875
1752748498.888175,14359770,63.08254623413086
1752748520.891787,14678876,64.33667755126953
1752748543.059265,14997982,64.90371704101562
1752748565.020575,15317088,64.99161529541016
1752748588.177081,15636194,66.7863540649414
1752748610.24758,15955300,65.5454330444336
1752748632.297953,16274406,68.41046905517578
1752748654.574788,16593512,70.31609344482422
1752748676.77078,16912618,70.98136138916016
1752748699.41102,17231724,72.32339477539062
1752748721.352706,17550830,72.31362915039062
1752748743.522138,17869936,71.06753540039062
1752748765.548618,18189042,74.17674255371094
1752748787.567945,18508148,73.4718246459961
1752748810.253415,18827254,74.7707748413086
1752748832.658543,19146360,75.15856170654297
1752748854.63171,19465466,76.52243041992188
1752748876.914613,19784572,76.36559295654297
1752748899.012534,20103678,76.2190933227539
1752748921.689246,20422784,78.02992248535156
1752748943.760324,20741890,76.86138153076172
1752748965.928161,21060996,77.77599334716797
1752748988.154673,21380102,78.77906799316406
1752749010.909187,21699208,78.96635437011719
1752749033.88519,22018314,79.61898803710938
1752749056.280749,22337420,80.82601928710938
1752749078.404679,22656526,80.91678619384766
1752749100.685819,22975632,82.56158447265625
1752749123.272659,23294738,79.45295715332031
1752749145.780012,23613844,81.45912170410156
1752749168.621488,23932950,82.81092071533203
1752749191.11132,24252056,83.1941146850586
1752749213.605988,24571162,82.06062316894531
1752749236.589489,24890268,83.87145233154297
1752749259.205513,25209374,83.03153228759766
1752749281.446226,25528480,83.30384063720703
1752749304.100705,25847586,84.13169860839844
1752749326.602407,26166692,83.96739196777344
1752749349.378506,26485798,84.56832122802734
1752749372.545249,26804904,84.49076080322266
1752749395.622873,27124010,85.79488372802734
1752749418.082177,27443116,85.4151382446289
1752749440.55893,27762222,86.41132354736328
1752749463.063008,28081328,86.05168151855469
1752749485.651378,28400434,86.3090591430664
1752749508.306991,28719540,86.63422393798828
1752749530.9255,29038646,88.23133850097656
1752749553.735751,29357752,86.39236450195312
1752749576.542444,29676858,87.59019470214844
1752749599.418781,29995964,88.57833862304688
1752749622.071933,30315070,88.08312225341797
1752749644.83148,30634176,87.95040893554688
1752749667.521125,30953282,87.22711181640625
1752749690.155248,31272388,87.81425476074219
1752749713.122873,31591494,88.70243072509766
1752749735.927136,31910600,88.92820739746094
