Step,Value
1,4.650262832641602
2,4.485374450683594
3,4.370312690734863
4,4.268235683441162
5,4.179495811462402
6,4.106637001037598
7,4.040307998657227
8,3.9706435203552246
9,3.898259401321411
10,3.82066011428833
11,3.738987684249878
12,3.661081790924072
13,3.577680349349976
14,3.496384382247925
15,3.4172189235687256
16,3.33783221244812
17,3.2615420818328857
18,3.182947397232056
19,3.112150192260742
20,3.037651300430298
21,2.964594841003418
22,2.894620656967163
23,2.822720766067505
24,2.7537288665771484
25,2.6826653480529785
26,2.618274450302124
27,2.5532233715057373
28,2.489877700805664
29,2.425277709960937
30,2.364595890045166
31,2.3030760288238525
32,2.244250059127808
33,2.1878087520599365
34,2.1300833225250244
35,2.0725317001342773
36,2.019834518432617
37,1.963284969329834
38,1.913858652114868
39,1.8632705211639404
40,1.8150043487548828
41,1.7685858011245728
42,1.72026264667511
43,1.6771918535232544
44,1.63278067111969
45,1.5905801057815552
46,1.5486923456192017
47,1.5134915113449097
48,1.471221923828125
49,1.4320907592773438
50,1.396311640739441
51,1.3654624223709106
52,1.3279435634613037
53,1.295596718788147
54,1.262572169303894
55,1.2291802167892456
56,1.2012708187103271
57,1.1767386198043823
58,1.1463254690170288
59,1.1221742630004885
60,1.092780590057373
61,1.0678964853286743
62,1.0454061031341553
63,1.0199239253997805
64,0.9952159523963928
65,0.9774234294891356
66,0.9550243616104126
67,0.9364318251609802
68,0.9121314287185668
69,0.8948062658309937
70,0.8769055604934692
71,0.8591693639755249
72,0.8403581976890564
73,0.8212460875511169
74,0.8070512413978577
75,0.7953550815582275
76,0.7749629616737366
77,0.7601909637451172
78,0.7439900636672974
79,0.7371718883514404
80,0.720172643661499
81,0.704087495803833
82,0.6927066445350647
83,0.6793869137763977
84,0.6658669710159302
85,0.6590298414230347
86,0.6467186808586121
87,0.6334229111671448
88,0.6229786276817322
89,0.6102648973464966
90,0.6011348366737366
91,0.5937649011611938
92,0.581477165222168
93,0.576839029788971
94,0.5626182556152344
95,0.5599313378334045
96,0.5440363883972168
97,0.5398745536804199
98,0.5346378087997437
99,0.5219969749450684
100,0.5162658095359802
