Step,Value
1,2.675766706466675
2,5.028421878814697
3,5.561705112457275
4,5.1290202140808105
5,3.765519857406616
6,3.7109198570251465
7,3.6327598094940186
8,4.583769798278809
9,4.423709869384766
10,4.2034406661987305
11,4.65856409072876
12,4.763649940490723
13,5.191099643707275
14,6.44091272354126
15,4.873223781585693
16,7.258414268493652
17,6.5800299644470215
18,5.157442092895508
19,7.471204280853271
20,6.805534839630127
21,7.235976219177246
22,6.139117240905762
23,7.051981925964356
24,6.523934364318848
25,7.155198097229004
26,7.571802616119385
27,7.961106777191162
28,6.929319381713867
29,7.931937217712402
30,7.529543876647949
31,7.40089750289917
32,7.609573841094971
33,7.577785968780518
34,7.762901782989502
35,7.760658264160156
36,7.510097026824951
37,7.520568370819092
38,7.766267776489258
39,7.72213888168335
40,7.541511058807373
41,7.618923187255859
42,8.032535552978516
43,8.062827110290527
44,7.963724613189697
45,7.807404518127441
46,7.791323661804199
47,7.960732936859131
48,7.633133888244629
49,8.534031867980957
50,8.414360046386719
51,8.264397621154785
52,8.288705825805664
53,8.044877052307129
54,8.41585636138916
55,8.072924613952637
56,8.209797859191895
57,7.827599048614502
58,7.9857892990112305
59,8.660807609558105
60,7.924831867218018
61,8.234106063842773
62,8.619670867919922
63,8.287958145141602
64,8.680627822875977
65,8.192221641540527
66,8.029170036315918
67,7.970456123352051
68,8.815631866455078
69,8.857891082763672
70,8.76290225982666
71,8.314510345458984
72,8.200075149536133
73,8.473073959350586
74,8.75766658782959
75,8.763649940490723
76,8.483171463012695
77,8.56993293762207
78,8.92109203338623
79,8.81712818145752
80,8.235228538513184
81,8.629019737243652
82,8.387434959411621
83,8.679880142211914
84,9.298055648803713
85,8.850411415100098
86,8.742707252502441
87,8.734853744506836
88,9.05459976196289
89,8.908002853393555
90,9.006357192993164
91,8.557965278625488
92,9.199700355529783
93,8.964098930358887
94,8.990276336669922
95,8.988407135009766
96,8.774868965148926
97,8.815258026123047
98,8.580778121948242
99,9.11817455291748
100,9.119670867919922
