Wall time,Step,Value
1752744445.805206,319106,2.8979058265686035
1752744474.078588,638212,4.421465873718262
1752744503.382035,957318,5.332460880279541
1752744531.375255,1276424,4.876589298248291
1752744558.739777,1595530,4.094240665435791
1752744585.929487,1914636,4.127898216247559
1752744612.907543,2233742,3.7460732460021973
1752744640.580585,2552848,4.162677764892578
1752744667.765157,2871954,3.8795812129974365
1752744696.34596,3191060,5.24233341217041
1752744725.214561,3510166,5.274121284484863
1752744754.801664,3829272,6.032909393310547
1752744784.455892,4148378,5.986536979675293
1752744815.45717,4467484,7.44091272354126
1752744846.463838,4786590,5.977935791015625
1752744876.111687,5105696,6.842931747436523
1752744904.55677,5424802,6.357890605926514
1752744932.393557,5743908,6.689229488372803
1752744960.530614,6063014,7.458488941192627
1752744988.835467,6382120,7.071054458618164
1752745017.439377,6701226,7.468586444854736
1752745046.429684,7020332,7.403889179229736
1752745074.99185,7339438,7.542632579803467
1752745102.635104,7658544,6.781974792480469
1752745131.713455,7977650,7.961854934692383
1752745161.262406,8296756,8.013463020324707
1752745190.62557,8615862,7.952879428863525
1752745219.657816,8934968,8.004114151000977
1752745251.390169,9254074,8.68362045288086
1752745281.387308,9573180,8.142857551574707
1752745311.106547,9892286,8.279730796813965
1752745339.728013,10211392,8.318997383117676
1752745369.112304,10530498,8.135004043579102
1752745399.065373,10849604,8.592744827270508
1752745430.371939,11168710,8.905011177062988
1752745458.980749,11487816,7.889678478240967
1752745488.71617,11806922,8.33694839477539
1752745517.099502,12126028,7.85153341293335
1752745548.165201,12445134,8.347793579101562
1752745577.671519,12764240,8.47531795501709
1752745606.484928,13083346,8.37172794342041
1752745636.495881,13402452,8.605086326599121
1752745665.826188,13721558,8.655198097229004
1752745695.987539,14040664,8.669034957885742
1752745724.969276,14359770,8.744577407836914
1752745754.942917,14678876,8.90575885772705
1752745783.718966,14997982,8.57516860961914
1752745813.844096,15317088,8.990276336669922
1752745844.433415,15636194,9.185115814208984
1752745874.977474,15955300,8.935676574707031
1752745906.351038,16274406,9.199326515197754
1752745936.295103,16593512,8.168661117553711
1752745966.608501,16912618,8.935302734375
1752745996.598244,17231724,8.765893936157227
1752746027.232841,17550830,8.848167419433594
1752746058.572579,17869936,8.675018310546875
1752746089.280596,18189042,8.563949584960938
1752746119.74564,18508148,9.159686088562012
1752746150.968956,18827254,9.237471580505371
1752746181.641551,19146360,8.635004043579102
1752746212.469799,19465466,8.884068489074707
1752746244.627336,19784572,9.30179500579834
1752746276.042499,20103678,9.427823066711426
1752746306.692352,20422784,9.356768608093262
1752746338.488966,20741890,8.988033294677734
1752746369.628097,21060996,9.645475387573242
1752746400.58924,21380102,9.53515338897705
1752746432.540342,21699208,9.137995719909668
1752746463.101745,22018314,9.434928894042969
1752746494.067635,22337420,9.577411651611328
1752746525.26162,22656526,9.103963851928711
1752746557.489888,22975632,9.531414031982422
1752746588.297859,23294738,9.302168846130371
1752746618.684413,23613844,9.133133888244629
1752746649.203341,23932950,8.661930084228516
1752746680.650393,24252056,9.57404613494873
1752746711.87791,24571162,9.289079666137695
1752746744.217811,24890268,9.751683235168457
1752746775.114407,25209374,9.153327941894531
1752746806.375051,25528480,9.709050178527832
1752746837.68654,25847586,8.94166088104248
1752746869.433981,26166692,9.946147918701172
1752746900.82656,26485798,9.835826873779297
1752746931.225564,26804904,9.24345588684082
1752746961.306082,27124010,8.841436386108398
1752746992.074674,27443116,9.130516052246094
1752747023.630248,27762222,9.159686088562012
1752747056.958658,28081328,10.005983352661133
1752747087.932734,28400434,9.22288703918457
1752747119.587217,28719540,9.260658264160156
1752747150.858293,29038646,9.621167182922363
1752747183.344731,29357752,10.213163375854492
1752747214.308015,29676858,8.33545207977295
1752747246.057711,29995964,9.469334602355957
1752747277.317559,30315070,8.848915100097656
1752747308.97187,30634176,9.867987632751465
1752747340.027253,30953282,9.069184303283691
1752747372.508284,31272388,9.530291557312012
1752747404.39916,31591494,9.66342544555664
1752747437.771924,31910600,10.307778358459473
