Step,Value
1,4.625595569610596
2,4.442535877227783
3,4.299002647399902
4,4.186855316162109
5,4.099506378173828
6,4.015894412994385
7,3.931556224822998
8,3.8428802490234375
9,3.746859073638916
10,3.647331714630127
11,3.543839931488037
12,3.440295696258545
13,3.334665060043335
14,3.22696304321289
15,3.122596740722656
16,3.0142924785614014
17,2.9094467163085938
18,2.804410696029663
19,2.69980263710022
20,2.595080852508545
21,2.4894392490386963
22,2.390686273574829
23,2.2869722843170166
24,2.1894965171813965
25,2.091329574584961
26,1.996991872787476
27,1.9041296243667605
28,1.8143270015716555
29,1.724887490272522
30,1.6450068950653076
31,1.5655429363250732
32,1.48920738697052
33,1.415738582611084
34,1.3437914848327637
35,1.2768374681472778
36,1.2117878198623655
37,1.150145173072815
38,1.0958150625228882
39,1.040557622909546
40,0.9909883737564088
41,0.9435713291168212
42,0.8992068767547607
43,0.8548360466957092
44,0.8155761957168579
45,0.7791908383369446
46,0.7440585494041443
47,0.7090504765510559
48,0.6789889335632324
49,0.6519458293914795
50,0.6256538033485413
51,0.5941826701164246
52,0.5778390169143677
53,0.554882287979126
54,0.5303245782852173
55,0.5148969292640686
56,0.4936602115631103
57,0.4749700725078583
58,0.4597101509571075
59,0.4451726377010345
60,0.4328433573246002
61,0.4161698520183563
62,0.4061360359191894
63,0.3929358422756195
64,0.3793898522853851
65,0.3696524798870086
66,0.3631086945533752
67,0.3493308126926422
68,0.3442164063453674
69,0.3330611288547516
70,0.3261701762676239
71,0.3192930817604065
72,0.3117237389087677
73,0.3048158586025238
74,0.299249917268753
75,0.291526198387146
76,0.2846505045890808
77,0.2816318571567535
78,0.2712143659591675
79,0.2709846198558807
80,0.2659945785999298
81,0.2599539458751678
82,0.2554410398006439
83,0.2529594004154205
84,0.2486359030008316
85,0.2471106648445129
86,0.2407323122024536
87,0.2387906312942505
88,0.2366242706775665
89,0.2352075725793838
90,0.2266045659780502
91,0.2237279713153839
92,0.2222912609577179
93,0.2195620089769363
94,0.2209857404232025
95,0.2135750651359558
96,0.2173502892255783
97,0.2100261747837066
98,0.2114679217338562
99,0.2089216709136963
100,0.2097669392824173
