Step,Value
1,4.22603178024292
2,6.065585136413574
3,7.33350944519043
4,8.862257957458496
5,9.86361312866211
6,11.386616706848145
7,12.832635879516602
8,14.925544738769531
9,16.250919342041016
10,18.304187774658203
11,20.833715438842773
12,23.11965751647949
13,24.918994903564453
14,27.036033630371094
15,29.391489028930664
16,29.902793884277344
17,33.49457550048828
18,35.9976806640625
19,39.52511596679688
20,41.02341842651367
21,43.18584060668945
22,47.03269958496094
23,49.708152770996094
24,51.192665100097656
25,53.24363327026367
26,55.92942810058594
27,57.20597076416016
28,60.01240921020508
29,60.330684661865234
30,62.611454010009766
31,65.83038330078125
32,65.31562805175781
33,70.42237091064453
34,71.76670837402344
35,72.4808120727539
36,74.29450988769531
37,76.10419464111328
38,76.74188995361328
39,77.64959716796875
40,79.69539642333984
41,78.87041473388672
42,80.07801818847656
43,80.51636505126953
44,83.79618835449219
45,85.38583374023438
46,85.24967956542969
47,83.98807525634766
48,85.8161392211914
49,87.34086608886719
50,88.70760345458984
51,88.94200134277344
52,87.87802124023438
53,88.5938491821289
54,89.7911148071289
55,89.58831024169922
56,91.2221908569336
57,91.23368072509766
58,90.67986297607422
59,90.35009765625
60,92.38957977294922
61,91.98800659179688
62,92.7859878540039
63,91.83346557617188
64,92.88652801513672
65,93.21973419189452
66,92.64236450195312
67,91.99777221679688
68,93.5426025390625
69,94.05850982666016
70,93.2162857055664
71,94.02748107910156
72,94.57383728027344
73,93.59143829345705
74,94.50431823730467
75,93.92120361328124
76,94.57038879394533
77,94.8145523071289
78,95.06216430664062
79,94.2957763671875
80,94.59164428710938
81,95.31207275390624
82,95.6803207397461
83,95.9474639892578
84,94.7863998413086
85,95.22014617919922
86,95.5614013671875
87,94.8438491821289
88,95.30345153808594
89,95.69296264648438
90,96.36627960205078
91,96.26976013183594
92,96.33467864990234
93,95.89806365966795
94,96.43004608154295
95,95.2684097290039
96,95.74639129638672
97,96.33927917480467
98,96.4283218383789
99,96.36512756347656
100,95.79177856445312
