Step,Value
1,2.8979058265686035
2,4.421465873718262
3,5.332460880279541
4,4.876589298248291
5,4.094240665435791
6,4.127898216247559
7,3.746073246002197
8,4.162677764892578
9,3.879581212997437
10,5.24233341217041
11,5.274121284484863
12,6.032909393310547
13,5.986536979675293
14,7.44091272354126
15,5.977935791015625
16,6.842931747436523
17,6.357890605926514
18,6.689229488372803
19,7.458488941192627
20,7.071054458618164
21,7.468586444854736
22,7.403889179229736
23,7.542632579803467
24,6.781974792480469
25,7.961854934692383
26,8.013463020324707
27,7.952879428863525
28,8.004114151000977
29,8.68362045288086
30,8.142857551574707
31,8.279730796813965
32,8.318997383117676
33,8.135004043579102
34,8.592744827270508
35,8.905011177062988
36,7.889678478240967
37,8.33694839477539
38,7.85153341293335
39,8.347793579101562
40,8.47531795501709
41,8.37172794342041
42,8.605086326599121
43,8.655198097229004
44,8.669034957885742
45,8.744577407836914
46,8.90575885772705
47,8.57516860961914
48,8.990276336669922
49,9.185115814208984
50,8.935676574707031
51,9.199326515197754
52,8.168661117553711
53,8.935302734375
54,8.765893936157227
55,8.848167419433594
56,8.675018310546875
57,8.563949584960938
58,9.159686088562012
59,9.237471580505373
60,8.635004043579102
61,8.884068489074707
62,9.30179500579834
63,9.427823066711426
64,9.356768608093262
65,8.988033294677734
66,9.645475387573242
67,9.53515338897705
68,9.137995719909668
69,9.434928894042969
70,9.577411651611328
71,9.103963851928713
72,9.531414031982422
73,9.302168846130373
74,9.133133888244627
75,8.661930084228516
76,9.57404613494873
77,9.289079666137695
78,9.751683235168455
79,9.153327941894531
80,9.709050178527832
81,8.94166088104248
82,9.946147918701172
83,9.835826873779297
84,9.24345588684082
85,8.841436386108398
86,9.130516052246094
87,9.159686088562012
88,10.005983352661133
89,9.22288703918457
90,9.260658264160156
91,9.621167182922363
92,10.213163375854492
93,8.33545207977295
94,9.469334602355955
95,8.848915100097656
96,9.867987632751465
97,9.069184303283691
98,9.530291557312012
99,9.66342544555664
100,10.307778358459473
