Wall time,Step,Value
1752734138.126364,319106,4.588761329650879
1752734204.940488,638212,4.412729740142822
1752734264.008401,957318,4.326729774475098
1752734324.396064,1276424,4.2312397956848145
1752734382.18229,1595530,4.181563377380371
1752734440.819334,1914636,4.141448020935059
1752734498.266021,2233742,4.1031293869018555
1752734554.939979,2552848,4.066173076629639
1752734610.332359,2871954,4.031363487243652
1752734661.315507,3191060,3.994246244430542
1752734713.720396,3510166,3.9537291526794434
1752734768.999544,3829272,3.9140870571136475
1752734823.290693,4148378,3.869810104370117
1752734877.725796,4467484,3.8246114253997803
1752734934.169646,4786590,3.7770814895629883
1752734994.332259,5105696,3.7232251167297363
1752735057.564182,5424802,3.668088436126709
1752735131.379069,5743908,3.608304262161255
1752735204.537085,6063014,3.548004627227783
1752735267.200723,6382120,3.483891248703003
1752735354.522432,6701226,3.4125943183898926
1752735419.562492,7020332,3.339750289916992
1752735509.720339,7339438,3.263582468032837
1752735595.77053,7658544,3.1812708377838135
1752735700.019304,7977650,3.0961802005767822
1752735787.419894,8296756,3.005748748779297
1752735895.74946,8615862,2.911438465118408
1752736001.5042,8934968,2.80735445022583
1752736113.742683,9254074,2.699094772338867
1752736224.449944,9573180,2.5861456394195557
1752736335.651145,9892286,2.4694833755493164
1752736451.457237,10211392,2.3411495685577393
1752736562.585954,10530498,2.213494062423706
1752736675.142512,10849604,2.0806922912597656
1752736786.383867,11168710,1.9461686611175537
1752736897.089052,11487816,1.8098554611206055
1752737007.766493,11806922,1.676551103591919
1752737117.357165,12126028,1.5455853939056396
1752737228.154012,12445134,1.4173671007156372
1752737340.202193,12764240,1.299128532409668
1752737451.763486,13083346,1.1820100545883179
1752737563.171868,13402452,1.075803518295288
1752737676.282356,13721558,0.9775640964508057
1752737791.689665,14040664,0.8827297687530518
1752737903.77831,14359770,0.8046088814735413
1752738016.342238,14678876,0.7271150946617126
1752738134.7409,14997982,0.6641244292259216
1752738248.764439,15317088,0.599001407623291
1752738365.458019,15636194,0.5457246899604797
1752738482.546353,15955300,0.5032489895820618
1752738595.664954,16274406,0.4589996039867401
1752738709.844247,16593512,0.4248844087123871
1752738823.853971,16912618,0.3914801776409149
1752738937.319411,17231724,0.3639555871486664
1752739050.482422,17550830,0.34385526180267334
1752739165.258526,17869936,0.3230541944503784
1752739279.144971,18189042,0.30337774753570557
1752739394.013683,18508148,0.29021143913269043
1752739510.957942,18827254,0.27579745650291443
1752739626.682154,19146360,0.2614544630050659
1752739740.122224,19465466,0.2517355978488922
1752739856.918401,19784572,0.24332258105278015
1752739970.493522,20103678,0.23729293048381805
1752740086.557977,20422784,0.23020023107528687
1752740203.516663,20741890,0.21999743580818176
1752740318.777753,21060996,0.2167312502861023
1752740434.333804,21380102,0.2091059535741806
1752740549.151309,21699208,0.20828242599964142
1752740665.542122,22018314,0.20306804776191711
1752740781.891826,22337420,0.1973525881767273
1752740894.039604,22656526,0.19372741878032684
1752741006.957574,22975632,0.1916462928056717
1752741122.546466,23294738,0.19095464050769806
1752741240.728485,23613844,0.18683022260665894
1752741355.884688,23932950,0.18165120482444763
1752741471.157115,24252056,0.1823917180299759
1752741589.054707,24571162,0.18100354075431824
1752741705.144287,24890268,0.17360973358154297
1752741826.101322,25209374,0.17658260464668274
1752741939.937554,25528480,0.17275027930736542
1752742055.960373,25847586,0.17442099750041962
1752742173.016075,26166692,0.16813401877880096
1752742287.960211,26485798,0.1694713532924652
1752742403.936607,26804904,0.16916070878505707
1752742518.74672,27124010,0.16793809831142426
1752742637.513981,27443116,0.16680052876472473
1752742750.715702,27762222,0.1634044349193573
1752742866.113115,28081328,0.16369938850402832
1752742980.776361,28400434,0.16059672832489014
1752743095.575976,28719540,0.16124747693538666
1752743212.572679,29038646,0.16044987738132477
1752743328.020425,29357752,0.15896111726760864
1752743442.926936,29676858,0.157624751329422
1752743561.692337,29995964,0.1564299464225769
1752743676.198142,30315070,0.1556553989648819
1752743791.007091,30634176,0.15522053837776184
1752743905.208896,30953282,0.15328900516033173
1752744020.108935,31272388,0.15530964732170105
1752744136.812393,31591494,0.1559668928384781
1752744253.276042,31910600,0.15400788187980652
