Wall time,Step,Value
1752734138.126364,319106,5.110189437866211
1752734204.940488,638212,6.183932304382324
1752734264.008401,957318,6.73143196105957
1752734324.396064,1276424,7.628803253173828
1752734382.18229,1595530,8.320503234863281
1752734440.819334,1914636,8.674969673156738
1752734498.266021,2233742,9.444802284240723
1752734554.939979,2552848,10.057794570922852
1752734610.332359,2871954,10.47258472442627
1752734661.315507,3191060,10.883927345275879
1752734713.720396,3510166,11.660653114318848
1752734768.999544,3829272,12.68384075164795
1752734823.290693,4148378,13.38185977935791
1752734877.725796,4467484,13.70070743560791
1752734934.169646,4786590,14.760087966918945
1752734994.332259,5105696,15.748230934143066
1752735057.564182,5424802,17.033964157104492
1752735131.379069,5743908,18.41104507446289
1752735204.537085,6063014,19.0004825592041
1752735267.200723,6382120,20.17878532409668
1752735354.522432,6701226,21.868967056274414
1752735419.562492,7020332,23.38335418701172
1752735509.720339,7339438,25.257951736450195
1752735595.77053,7658544,26.39029312133789
1752735700.019304,7977650,28.808944702148438
1752735787.419894,8296756,30.21819496154785
1752735895.74946,8615862,32.581119537353516
1752736001.5042,8934968,35.82820129394531
1752736113.742683,9254074,38.114715576171875
1752736224.449944,9573180,41.1854248046875
1752736335.651145,9892286,43.351871490478516
1752736451.457237,10211392,46.362831115722656
1752736562.585954,10530498,50.30506134033203
1752736675.142512,10849604,52.869632720947266
1752736786.383867,11168710,57.1048583984375
1752736897.089052,11487816,60.760986328125
1752737007.766493,11806922,63.20893478393555
1752737117.357165,12126028,66.16416931152344
1752737228.154012,12445134,69.60945129394531
1752737340.202193,12764240,73.36669158935547
1752737451.763486,13083346,73.89925384521484
1752737563.171868,13402452,77.36637115478516
1752737676.282356,13721558,79.79364013671875
1752737791.689665,14040664,81.74349975585938
1752737903.77831,14359770,84.19259643554688
1752738016.342238,14678876,85.52256774902344
1752738134.7409,14997982,87.0438461303711
1752738248.764439,15317088,87.94581604003906
1752738365.458019,15636194,89.85660552978516
1752738482.546353,15955300,90.63103485107422
1752738595.664954,16274406,91.113037109375
1752738709.844247,16593512,91.67547607421875
1752738823.853971,16912618,92.80207061767578
1752738937.319411,17231724,93.30418395996094
1752739050.482422,17550830,93.50813293457031
1752739165.258526,17869936,94.38424682617188
1752739279.144971,18189042,94.83580780029297
1752739394.013683,18508148,94.58130645751953
1752739510.957942,18827254,94.50029754638672
1752739626.682154,19146360,95.43903350830078
1752739740.122224,19465466,95.53784942626953
1752739856.918401,19784572,95.14718627929688
1752739970.493522,20103678,95.23738098144531
1752740086.557977,20422784,95.36492156982422
1752740203.516663,20741890,95.96355438232422
1752740318.777753,21060996,96.3599624633789
1752740434.333804,21380102,96.22150421142578
1752740549.151309,21699208,95.84807586669922
1752740665.542122,22018314,96.36857604980469
1752740781.891826,22337420,96.74545288085938
1752740894.039604,22656526,96.45417785644531
1752741006.957574,22975632,96.53633117675781
1752741122.546466,23294738,96.37259674072266
1752741240.728485,23613844,96.94709777832031
1752741355.884688,23932950,96.69776916503906
1752741471.157115,24252056,96.2640151977539
1752741589.054707,24571162,96.77877044677734
1752741705.144287,24890268,96.88792419433594
1752741826.101322,25209374,97.07636260986328
1752741939.937554,25528480,96.63227081298828
1752742055.960373,25847586,97.0970458984375
1752742173.016075,26166692,97.12461853027344
1752742287.960211,26485798,97.08440399169922
1752742403.936607,26804904,96.78451538085938
1752742518.74672,27124010,97.13151550292969
1752742637.513981,27443116,97.3693618774414
1752742750.715702,27762222,96.72821807861328
1752742866.113115,28081328,97.41532135009766
1752742980.776361,28400434,97.08785247802734
1752743095.575976,28719540,97.30903625488281
1752743212.572679,29038646,97.18264770507812
1752743328.020425,29357752,96.58401489257812
1752743442.926936,29676858,97.0798110961914
1752743561.692337,29995964,97.46472930908203
1752743676.198142,30315070,97.25617980957031
1752743791.007091,30634176,97.05912780761719
1752743905.208896,30953282,97.2538833618164
1752744020.108935,31272388,97.20735168457031
1752744136.812393,31591494,97.51585388183594
1752744253.276042,31910600,97.14702606201172
