Step,Value
1,0.2019686698913574
2,0.1690435707569122
3,0.1471932381391525
4,0.1310433745384216
5,0.1182849258184433
6,0.1077513545751571
7,0.0987700298428535
8,0.0909660905599594
9,0.0840669646859169
10,0.0778989121317863
11,0.0723536238074302
12,0.0673492848873138
13,0.0628281086683273
14,0.0587332881987094
15,0.0550171136856079
16,0.0516479201614856
17,0.0485793761909008
18,0.0457734540104866
19,0.0432156361639499
20,0.0408580750226974
21,0.0387001857161521
22,0.0367061011493206
23,0.0348668955266475
24,0.0331613533198833
25,0.0315780229866504
26,0.030111925676465
27,0.0287358108907938
28,0.0274537801742553
29,0.0262552555650472
30,0.0251288134604692
31,0.0240719579160213
32,0.0230772066861391
33,0.0221361815929412
34,0.0212522074580192
35,0.0204155165702104
36,0.0196241457015275
37,0.0188729241490364
38,0.0181608106940984
39,0.0174804665148258
40,0.0168357659131288
41,0.0162235666066408
42,0.0156399942934513
43,0.0150835057720541
44,0.0145527478307485
45,0.014044645242393
46,0.0135590648278594
47,0.0130951143801212
48,0.0126523533836007
49,0.0122271943837404
50,0.0118209505453705
51,0.0114303557202219
52,0.0110573079437017
53,0.01069918833673
54,0.0103535559028387
55,0.0100245540961623
56,0.0097069814801216
57,0.0094033116474747
58,0.0091093415394425
59,0.0088286036625504
60,0.0085579445585608
61,0.0082940952852368
62,0.0080439178273081
63,0.0078003513626754
64,0.0075680068694055
65,0.0073410789482295
66,0.0071251131594181
67,0.0069163194857537
68,0.0067149847745895
69,0.0065198452211916
70,0.0063311005942523
71,0.006147984880954
72,0.0059732622466981
73,0.0058031952939927
74,0.0056400625035166
75,0.0054811355657875
76,0.0053277406841516
77,0.0051785763353109
78,0.0050351237878203
79,0.0048953210934996
80,0.0047607729211449
81,0.0046309302560985
82,0.0045051290653645
83,0.0043834173120558
84,0.0042639635503292
85,0.0041497312486171
86,0.0040381541475653
87,0.0039303922094404
88,0.0038260472938418
89,0.0037245936691761
90,0.0036261479835957
91,0.0035300969611853
92,0.0034374226815998
93,0.0033479556441307
94,0.0032602127175778
95,0.0031756944954395
96,0.0030941739678382
97,0.0030138052534312
98,0.002935980213806
99,0.0028603377286344
100,0.0027872468344867
101,0.0027166900690644
102,0.0026470283046364
103,0.0025805875193327
104,0.0025137655902653
105,0.0024505259934812
106,0.0023887467104941
107,0.0023289048112928
108,0.0022702615242451
109,0.0022138974163681
110,0.0021577759180217
111,0.002105422085151
112,0.0020526263397186
113,0.0020017044153064
114,0.0019526669057086
115,0.0019036345183849
116,0.0018572548869997
117,0.0018111312529072
118,0.0017666154308244
119,0.0017228472279384
120,0.0016809356166049
121,0.0016397663857787
122,0.001600265619345
123,0.0015604444779455
124,0.0015231928555294
125,0.0014868649886921
126,0.0014503159327432
127,0.0014152654912322
128,0.0013808609219267
129,0.0013482191134244
130,0.0013154837070032
131,0.0012838462134823
132,0.0012530221138149
133,0.0012235747417435
134,0.0011943706776946
135,0.0011650932719931
136,0.0011373320594429
137,0.0011108368635177
138,0.0010837438749149
139,0.0010582483373582
140,0.0010331581579521
141,0.001009005238302
142,0.000984736601822
143,0.0009619073243811
144,0.000939259014558
145,0.0009165299707092
146,0.0008950980263762
147,0.0008741551428101
148,0.0008534181397408
149,0.0008331914432346
150,0.0008139878045767
151,0.0007948672282509
152,0.0007759390864521
153,0.000758410198614
154,0.000740522518754
155,0.000723396486137
156,0.0007064259261824
157,0.0006895714905112
158,0.0006738764350302
159,0.0006582774803973
160,0.000643033417873
161,0.0006279110093601
162,0.0006137578166089
163,0.0005994568928144
164,0.0005857439246028
165,0.0005722447531297
166,0.0005588251515291
167,0.0005456568906083
168,0.0005333428271114
169,0.0005211840616539
170,0.0005093465442769
171,0.0004974765470251
172,0.0004858607135247
173,0.0004747358034364
174,0.000463844218757
175,0.0004535624175332
176,0.00044280604925
177,0.0004327554488554
178,0.0004231334896758
179,0.0004135016934014
180,0.0004037408798467
181,0.0003948656085412
182,0.0003856755502056
183,0.0003770212642848
184,0.0003683571121655
185,0.0003600291383918
186,0.0003516951983328
187,0.0003440462169237
188,0.0003360561386216
189,0.0003284246777184
190,0.0003208997077308
191,0.000313694239594
192,0.0003068001533392
193,0.0002999198914039
194,0.0002931891649495
195,0.0002862990659195
196,0.0002799501817207
197,0.0002736275782808
198,0.0002674442657735
199,0.0002614463446661
200,0.0002557371917646
201,0.0002498193352948
202,0.0002441571850795
203,0.0002387794374953
204,0.0002336014003958
205,0.0002282458590343
206,0.0002230157406302
207,0.0002180377778131
208,0.0002131553337676
209,0.0002084663137793
210,0.0002038038801401
211,0.0001992640318349
212,0.0001947873824974
213,0.0001903955999296
214,0.0001861744531197
215,0.0001821363402996
216,0.00017795736494
217,0.0001741218293318
218,0.0001702380104688
219,0.0001665017625782
220,0.0001627649180591
221,0.0001592407206771
222,0.000155678106239
223,0.0001522101956652
224,0.0001487996196374
225,0.0001456137106288
226,0.0001424245274392
227,0.000139336567372
228,0.0001361721660941
229,0.0001331919775111
230,0.0001301994925597
231,0.0001273937959922
232,0.0001245673629455
233,0.0001218590768985
234,0.0001191292321891
235,0.0001165111461887
236,0.0001139957676059
237,0.0001115262130042
238,0.0001089814395527
239,0.0001066514159901
240,0.0001043732554535
241,0.000101999270555
242,9.980800678022206e-05
243,9.763929119799286e-05
244,9.556227450957522e-05
245,9.341079567093402e-05
246,9.141824557445943e-05
247,8.938693645177409e-05
248,8.74477336765267e-05
249,8.553997031413019e-05
250,8.366450492758304e-05
251,8.18850749055855e-05
252,8.013766637304798e-05
253,7.846175140002742e-05
254,7.66703742556274e-05
255,7.503906090278178e-05
256,7.334983092732728e-05
257,7.184192509157583e-05
258,7.022061618044972e-05
